1922	2.73	2.72	1.85	1.24	2.55	2.90	3.56	3.57	3.65	2.97	3.56	2.87	2.01	2.89	2.46	1.93
1923	3.50	3.49	2.84	2.55	2.66	3.20	3.20	3.20	3.03	2.83	3.16	2.79	2.98	3.29	2.88	2.37
1924	3.01	3.00	2.84	1.77	2.60	3.40	3.81	3.82	4.04	3.05	4.26	3.21	2.39	3.05	2.69	2.24
1925	2.50	2.49	1.47	1.18	1.80	2.13	2.56	2.57	2.37	1.96	2.55	2.03	2.31	2.60	2.13	1.55
1926	6.62	6.61	5.75	5.32	5.93	5.97	6.38	6.38	6.76	6.00	6.12	6.03	6.37	6.41	6.08	5.66
1927	2.27	2.26	3.27	2.73	2.57	1.96	2.55	2.55	3.47	3.32	2.76	3.41	2.16	2.21	1.96	1.66
1928	6.96	6.95	5.29	5.07	5.84	6.81	7.05	7.05	6.81	6.09	7.12	6.11	6.16	6.78	6.20	5.47
1929	5.29	5.28	4.27	3.64	4.39	5.20	5.44	5.44	5.74	4.30	5.39	4.23	4.85	5.28	4.77	4.13
1930	5.89	5.89	6.07	5.38	6.06	5.49	6.14	6.14	6.71	6.46	5.87	6.46	5.72	6.09	5.79	5.42
1931	4.36	4.35	4.42	3.21	4.75	4.32	5.74	5.73	6.43	5.31	5.30	5.61	4.00	4.90	4.57	4.15
1932	4.40	4.39	4.25	3.25	4.14	4.58	4.72	4.73	4.77	4.48	5.06	4.78	3.71	4.39	3.97	3.45
1933	2.75	2.74	2.21	1.67	2.27	2.90	3.18	3.19	3.27	2.70	3.92	2.99	2.22	2.76	2.18	1.45
1934	4.87	4.86	2.74	2.82	3.64	5.12	5.23	5.24	4.70	3.60	5.75	3.72	3.91	4.86	4.26	3.49
1935	5.27	5.26	4.53	3.85	5.14	5.04	6.31	6.31	6.62	5.31	5.86	5.39	4.94	5.69	5.22	4.62
1936	3.95	3.94	3.48	2.53	3.84	4.22	4.53	4.53	4.68	4.26	4.67	4.35	3.21	4.05	3.63	3.10
1937	3.36	3.35	3.20	2.61	3.38	3.29	3.67	3.67	4.12	3.54	3.67	3.58	2.98	3.60	3.27	2.85
1938	7.65	7.63	6.35	5.24	6.92	7.44	8.10	8.09	8.31	7.24	7.74	7.50	6.74	7.79	7.25	6.58
1939	5.16	5.16	5.74	4.53	5.67	4.90	6.01	6.00	6.83	6.33	5.51	6.63	4.90	5.55	5.23	4.82
1940	5.87	5.86	5.03	4.27	5.48	5.48	6.19	6.19	6.34	5.77	5.93	5.88	5.33	5.84	5.48	5.02
1941	1.41	1.40	2.31	0.87	2.26	1.52	2.71	2.71	3.46	2.92	2.69	3.25	1.16	1.92	1.57	1.13
1942	3.70	3.69	2.23	1.58	3.45	4.03	4.56	4.56	4.39	3.60	4.78	3.54	2.93	4.00	3.49	2.83
1943	2.66	2.65	2.19	1.74	2.66	2.82	3.52	3.52	3.92	3.04	3.68	3.14	2.39	2.85	2.49	2.05
1944	4.66	4.66	3.45	2.81	3.93	4.51	5.20	5.20	5.14	4.17	4.92	4.38	3.94	4.72	4.15	3.44
1945	4.12	4.12	2.57	2.17	3.71	4.58	4.41	4.41	4.28	3.89	4.95	3.96	3.19	4.02	3.58	3.03
1946	3.51	3.50	3.67	2.46	4.21	3.90	5.20	5.20	5.50	4.61	4.87	4.77	3.15	4.28	3.91	3.44
1947	5.19	5.19	5.24	4.64	5.15	5.00	5.88	5.88	6.03	5.54	5.30	5.66	4.92	5.49	5.09	4.60
1948	4.59	4.59	3.67	3.03	3.90	4.61	4.95	4.95	5.21	4.28	5.18	4.75	4.23	4.89	4.32	3.59
1949	3.86	3.85	3.13	2.73	3.50	4.26	4.60	4.61	4.53	3.62	5.24	3.81	3.45	4.08	3.61	3.01
1950	4.47	4.46	4.24	3.33	4.21	4.23	4.81	4.81	5.26	4.80	4.75	4.99	3.88	4.62	4.22	3.72
1951	6.88	6.88	5.77	5.23	6.46	6.55	7.26	7.26	7.75	6.77	7.06	6.84	6.49	6.93	6.50	5.97
1952	1.77	1.76	1.75	0.90	1.72	2.03	1.86	1.86	2.29	2.16	2.21	2.44	1.35	1.54	1.29	0.97
1953	5.32	5.31	3.34	2.53	4.56	5.73	6.59	6.59	6.59	4.80	6.95	4.99	4.71	5.84	5.20	4.40
1954	3.47	3.47	4.17	2.70	4.16	3.76	5.05	5.05	5.84	4.76	4.67	5.22	3.18	4.23	3.83	3.33
1955	4.50	4.49	2.53	2.03	3.48	4.63	5.24	5.24	5.12	3.78	5.38	4.23	3.75	4.58	3.99	3.25
1956	2.23	2.22	1.86	1.17	2.61	2.72	3.90	3.91	3.91	2.82	3.98	2.96	1.36	2.93	2.39	1.70
1957	4.97	4.97	3.80	3.34	4.43	5.19	5.28	5.29	5.45	4.65	5.44	4.83	4.28	4.92	4.39	3.74
1958	4.40	4.40	3.86	3.64	4.39	4.54	4.65	4.65	4.82	4.45	4.90	4.61	4.15	4.29	4.05	3.74
1959	3.29	3.29	2.50	2.04	3.25	3.54	4.11	4.11	4.67	3.53	4.21	3.87	3.63	3.58	3.31	2.96
1960	6.04	6.04	5.74	4.91	6.16	5.83	6.75	6.75	7.10	6.43	6.24	6.58	5.83	6.50	6.04	5.45
1961	4.08	4.07	3.32	2.66	3.54	4.31	4.30	4.31	4.48	3.75	4.50	3.96	3.83	4.18	3.78	3.26
1962	3.63	3.62	1.60	1.43	1.98	3.67	3.50	3.50	3.42	2.48	4.05	2.71	2.96	3.11	2.52	1.77
1963	7.79	7.79	7.12	6.55	7.20	7.23	7.78	7.79	8.22	7.56	7.50	7.90	7.67	7.90	7.45	6.89
1964	5.06	5.05	4.89	4.31	5.00	5.20	5.23	5.24	5.58	5.36	5.44	5.40	4.43	5.07	4.69	4.22
1965	0.52	0.51	2.44	1.39	1.46	0.81	1.05	1.05	2.20	2.22	1.48	2.74	0.58	0.57	0.49	0.39
1966	2.73	2.72	1.40	1.01	1.88	2.80	3.13	3.14	3.20	2.01	3.51	2.30	2.34	2.62	2.12	1.50
1967	4.45	4.44	3.21	2.69	3.37	4.55	4.71	4.73	4.52	3.58	5.22	3.91	3.99	4.25	3.72	3.07
1968	4.16	4.15	3.10	2.70	3.16	4.68	4.62	4.63	4.51	3.38	5.48	3.71	3.33	3.88	3.36	2.72
1969	5.82	5.82	4.61	4.06	4.91	5.39	5.69	5.69	5.84	5.07	5.37	5.27	5.32	5.63	5.14	4.53
1970	5.56	5.55	5.69	4.90	5.58	5.21	6.55	6.55	7.07	6.02	5.78	6.46	5.63	6.12	5.72	5.21
1971	4.16	4.15	2.60	2.37	3.24	4.23	4.51	4.52	4.32	3.46	4.76	3.35	3.20	4.12	3.50	2.72
1972	5.08	5.07	3.67	2.66	3.83	5.21	5.29	5.29	5.11	4.20	5.47	4.29	4.29	4.96	4.28	3.41
1973	3.42	3.41	3.12	2.13	3.32	3.46	4.14	4.14	4.48	3.73	3.94	4.03	2.67	3.72	3.18	2.50
1974	5.33	5.32	4.18	3.23	4.85	5.29	5.99	6.00	6.00	5.03	5.85	5.39	4.53	5.61	4.99	4.22
1975	2.80	2.78	3.17	1.78	2.98	2.95	4.13	4.13	4.47	3.64	4.02	4.14	2.32	3.17	2.71	2.12
1976	5.24	5.23	4.13	3.65	4.76	5.16	5.75	5.75	5.80	4.95	5.71	5.10	4.62	5.16	4.70	4.13
1977	5.99	5.98	4.40	3.89	4.94	5.71	5.89	5.89	5.79	5.03	5.77	5.05	5.07	5.86	5.26	4.51
1978	5.46	5.45	2.76	2.11	3.32	6.28	5.77	5.79	5.13	3.27	6.74	3.06	4.06	4.93	4.21	3.31
1979	4.03	4.02	3.50	2.50	3.22	4.05	4.57	4.58	4.60	3.88	4.73	4.15	3.28	4.06	3.38	2.53
1980	3.58	3.57	2.24	1.74	2.80	3.88	4.03	4.05	3.98	3.00	4.49	2.99	2.55	3.48	2.87	2.09
1981	4.92	4.91	4.13	3.46	4.56	4.99	5.28	5.28	5.49	4.99	5.18	5.11	4.01	5.01	4.51	3.87
1982	6.29	6.28	5.38	4.58	5.98	6.11	6.91	6.91	7.41	6.24	6.49	6.46	5.89	6.66	6.12	5.45
1983	4.07	4.06	2.28	1.52	3.01	4.23	4.86	4.87	5.03	3.43	5.01	3.65	3.45	4.27	3.62	2.80
1984	4.08	4.08	5.08	3.95	4.95	4.11	5.75	5.75	7.08	5.46	5.22	5.84	4.57	4.78	4.56	4.28
1985	1.39	1.38	0.37	-0.10	0.37	1.31	1.57	1.58	1.56	0.88	1.95	1.32	0.50	1.16	0.59	-0.13
1986	6.54	6.54	4.93	3.86	5.52	6.76	7.21	7.21	7.25	5.77	7.21	6.02	5.92	6.70	5.93	4.97
1987	5.70	5.69	4.25	3.52	4.60	5.69	6.11	6.12	5.53	4.68	6.28	4.86	4.42	5.48	4.81	3.96
1988	2.80	2.79	2.53	1.41	2.90	3.10	4.40	4.41	4.73	3.32	4.36	3.31	2.01	3.55	2.96	2.22
